Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
10.48,Thursday,31-50,Male,Elementary school,Employee,2-5yr,Automobile,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,Driver or rider,Female,Over 51,3,Driver,Normal,Not a Pedestrian,Drunk driving,Slight Injury
22.33,Friday,31-50,Male,High school,Employee,1-2yr,Public (13?45 seats),Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Unknown,Unknown,Unknown,Unknown,Unknown,Normal,Not a Pedestrian,Moving Backward,Slight Injury
22.33,Friday,18-30,Male,Junior high school,Employee,5-10yr,Special vehicle,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Unknown,Unknown,Unknown,Unknown,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
21.08,Friday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
21.08,Friday,18-30,Male,High school,Employee,Above 10yr,Public (13?45 seats),Owner,Above 10yr,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Passenger,Male,Under 18,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
21.08,Friday,18-30,Male,Elementary school,Owner,5-10yr,Unknown,Owner,Above 10yr,Unknown,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
17.47,Saturday,18-30,Male,Elementary school,Employee,Below 1yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Unknown,Unknown,Unknown,Unknown,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
17.47,Saturday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Unknown,Unknown,Unknown,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
0.75,Sunday,Unknown,Female,Elementary school,Owner,5-10yr,Public (12 seats),Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Turnover,Passenger,Female,18-30,3,Unknown,Unknown,Not a Pedestrian,Changing lane to the right,Slight Injury
14.72,Sunday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
16.2,Monday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Unknown,Unknown,Unknown,Unknown,Other,Normal,Not a Pedestrian,Driving at high speed,Slight Injury
13.0,Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Above 10yr,No defect, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Pedestrian,Male,18-30,2,Driver,Normal,Crossing from driver's nearside,Changing lane to the left,Slight Injury
10.08,Tuesday,Over 51,Unknown,High school,Employee,1-2yr,Public (> 45 seats),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Unknown,Unknown,Unknown,Unknown,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
10.08,Tuesday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
21.83,Wednesday,31-50,Male,Elementary school,Employee,2-5yr,Pick up upto 10Q,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,2,Going straight,Passenger,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
21.83,Wednesday,Over 51,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,2,Other,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not a Pedestrian,Changing lane to the right,Slight Injury
8.83,Thursday,18-30,Male,Junior high school,Employee,Below 1yr,Other,Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
8.83,Thursday,31-50,Male,Junior high school,Employee,5-10yr,Unknown,Owner,Above 10yr,No defect, Church areas,Undivided Two way,Sharp reverse curve,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Unknown,Unknown,Unknown,Unknown,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
13.17,Monday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Above 10yr,No defect,Office areas,Undivided Two way,Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not a Pedestrian,Driving carelessly,Slight Injury
13.17,Monday,18-30,Male,Elementary school,Employee,1-2yr,Stationwagen,Owner,5-10yrs,No defect,Other,Double carriageway (median),Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,Passenger,Female,Under 18,3,Unknown,Unknown,Not a Pedestrian,Driving carelessly,Slight Injury
23.53,Friday,18-30,Male,Junior high school,Employee,Unknown,Pick up upto 10Q,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
23.53,Friday,31-50,Male,Elementary school,Employee,Above 10yr,Lorry (41?100Q),Owner,5-10yrs,No defect, Church areas,Unknown,Tangent road with mountainous terrain and,Y Shape,Asphalt roads with some distress,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Under 18,3,Driver,Normal,Not a Pedestrian,Overturning,Slight Injury
15.67,Sunday,31-50,Male,Junior high school,Owner,1-2yr,Automobile,Owner,1-2yr,Unknown,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Other,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not a Pedestrian,Changing lane to the right,Slight Injury
15.67,Sunday,31-50,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Entering a junction,Driver or rider,Male,31-50,3,Unknown,Unknown,Not a Pedestrian,Moving Backward,Slight Injury
15.67,Sunday,Unknown,Female,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Above 10yr,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Turnover,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
10.37,Saturday,31-50,Male,Elementary school,Owner,2-5yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Unknown,Unknown,Unknown,Unknown,Driver,Normal,Not a Pedestrian,Overturning,Slight Injury
10.37,Saturday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,Unknown, Church areas,Two-way (divided with broken lines road marking),Steep grade upward with mountainous terrain,No junction,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not a Pedestrian,Driving carelessly,Slight Injury
16.47,Tuesday,31-50,Male,Junior high school,Employee,Below 1yr,Pick up upto 10Q,Governmental,1-2yr,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,3,Unknown,Unknown,Not a Pedestrian,Changing lane to the right,Slight Injury
16.47,Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Governmental,Above 10yr,Unknown,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Unknown,Unknown,Unknown,Unknown,Driver,Normal,Not a Pedestrian,Driving at high speed,Slight Injury
0.85,Monday,31-50,Male,High school,Employee,Above 10yr,Automobile,Organization,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
0.85,Monday,18-30,Male,Junior high school,Employee,5-10yr,Other,Organization,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not a Pedestrian,Driving carelessly,Slight Injury
11.67,Sunday,18-30,Male,Elementary school,Employee,1-2yr,Unknown,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining and Windy,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Unknown,Not a Pedestrian,No distancing,Slight Injury
11.67,Sunday,31-50,Male,Junior high school,Employee,Unknown,Automobile,Governmental,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining and Windy,Vehicle with vehicle collision,2,1,Going straight,Unknown,Unknown,Unknown,Unknown,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
17.42,Thursday,31-50,Male,Elementary school,Employee,1-2yr,Motorcycle,Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,2,Getting off,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
17.42,Thursday,31-50,Male,Junior high school,Owner,1-2yr,Automobile,Owner,2-5yrs,No defect, Church areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,2,Getting off,Unknown,Unknown,Unknown,Unknown,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
18.5,Tuesday,31-50,Male,Above high school,Owner,1-2yr,Automobile,Owner,1-2yr,No defect,Unknown,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Getting off,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
17.08,Tuesday,18-30,Male,Junior high school,Owner,5-10yr,Public (12 seats),Owner,Above 10yr,Unknown,  Market areas,other,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not a Pedestrian,No distancing,Slight Injury
18.33,Thursday,31-50,Male,Junior high school,Employee,5-10yr,Long lorry,Owner,Above 10yr,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,2,Going straight,Driver or rider,Female,31-50,3,Driver,Unknown,Not a Pedestrian,Drunk driving,Slight Injury
18.33,Thursday,18-30,Male,Elementary school,Employee,5-10yr,Unknown,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,2,Going straight,Passenger,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
18.33,Thursday,18-30,Male,High school,Owner,Below 1yr,Automobile,Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,4,2,Waiting to go,Passenger,Female,Over 51,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
18.33,Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Governmental,1-2yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,2,Going straight,Passenger,Female,31-50,3,Employee,Normal,Not a Pedestrian,Driving to the left,Slight Injury
11.25,Thursday,18-30,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Windy,Vehicle with vehicle collision,1,1,Other,Passenger,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
23.33,Friday,Under 18,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Pedestrian,Female,Over 51,2,Other,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
23.33,Friday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,3,Self-employed,Normal,Unknown or other,Driving carelessly,Serious Injury
12.53,Sunday,18-30,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,Unknown,No defect,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Unknown,Unknown,Unknown,Unknown,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
12.53,Sunday,18-30,Male,Junior high school,Owner,Above 10yr,Automobile,Owner,Unknown,No defect,  Recreational areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Under 18,3,Employee,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
21.33,Thursday,18-30,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Overtaking,Driver or rider,Male,31-50,2,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
21.33,Thursday,31-50,Male,Junior high school,Employee,1-2yr,Public (12 seats),Organization,1-2yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not a Pedestrian,Changing lane to the right,Slight Injury
14.75,Thursday,Unknown,Male,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Under 18,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,Slight Injury
14.75,Thursday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
7.67,Friday,Unknown,Male,High school,Employee,2-5yr,Automobile,Unknown,1-2yr,Unknown,Residential areas,Undivided Two way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Female,Over 51,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
7.67,Friday,31-50,Male,High school,Owner,Above 10yr,Pick up upto 10Q,Owner,Unknown,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Under 18,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
23.02,Thursday,18-30,Male,Elementary school,Employee,2-5yr,Public (12 seats),Owner,2-5yrs,Unknown,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Going straight,Driver or rider,Male,31-50,3,Unknown,Unknown,Not a Pedestrian,No priority to vehicle,Slight Injury
9.3,Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,Unknown,Unknown,Unknown,Unknown,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
9.3,Saturday,Over 51,Male,High school,Employee,2-5yr,Automobile,Owner,2-5yrs,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Moving Backward,Driver or rider,Male,18-30,2,Unknown,Unknown,Not a Pedestrian,Moving Backward,Slight Injury
11.67,Sunday,31-50,Male,Junior high school,Other,No Licence,Automobile,Owner,Unknown,Unknown,  Recreational areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Getting off,Driver or rider,Male,31-50,1,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
10.72,Saturday,31-50,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,4,Overtaking,Unknown,Unknown,Unknown,Unknown,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
10.72,Saturday,31-50,Male,Junior high school,Owner,5-10yr,Other,Owner,1-2yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads with some distress,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Going straight,Unknown,Unknown,Unknown,Unknown,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
10.72,Saturday,31-50,Male,Junior high school,Employee,1-2yr,Other,Governmental,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
10.72,Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Other,Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Going straight,Unknown,Unknown,Unknown,Unknown,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
10.72,Saturday,Unknown,Male,Junior high school,Employee,1-2yr,Public (13?45 seats),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Reversing,Driver or rider,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
19.55,Monday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
19.55,Monday,31-50,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Unknown,Unknown,Unknown,Unknown,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
15.0,Sunday,18-30,Male,High school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not a Pedestrian,No priority to vehicle,Slight Injury
15.0,Sunday,Unknown,Female,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Unknown,Unknown,Unknown,Unknown,Self-employed,Normal,Not a Pedestrian,Driving to the left,Slight Injury
15.67,Thursday,31-50,Male,Elementary school,Employee,Above 10yr,Stationwagen,Owner,Unknown,Unknown,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,Driver or rider,Female,Over 51,3,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
15.67,Thursday,Over 51,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Unknown,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
12.08,Friday,31-50,Male,Elementary school,Employee,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Stopping,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
18.8,Friday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Overtaking,Driver or rider,Male,18-30,3,Unknown,Unknown,Not a Pedestrian,No distancing,Slight Injury
18.8,Friday,18-30,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Owner,Unknown,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,Unknown,Unknown,Unknown,Unknown,Student,Normal,Not a Pedestrian,Moving Backward,Slight Injury
15.42,Sunday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Reversing,Unknown,Unknown,Unknown,Unknown,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
6.08,Tuesday,31-50,Male,High school,Owner,2-5yr,Other,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,2,Going straight,Driver or rider,Male,Over 51,3,Unknown,Unknown,Not a Pedestrian,Driving carelessly,Slight Injury
6.08,Tuesday,31-50,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Unknown,No defect,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Pedestrian,Male,Under 18,3,Self-employed,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury
8.97,Monday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,5-10yrs,Unknown, Church areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Reversing,Driver or rider,Male,Under 18,2,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
8.97,Monday,31-50,Unknown,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Unknown,Unknown,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Passenger,Female,Under 18,2,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
